"Data","NrParagonu","Produkt"
NA,"PA 1/S01/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 1/S01/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 1/S01/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 1/S01/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 12/S01/01/2019","1_M石CZYZNA :  POLO"
NA,"PA 12/S01/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 13/S01/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 13/S01/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 18/S01/01/2019","2_KOBIETA :  KLAPKI"
NA,"PA 18/S01/01/2019","2_KOBIETA :  KLAPKI"
NA,"PA 19/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 19/S01/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 19/S01/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 2/S01/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 2/S01/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 2/S01/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 22/S01/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 22/S01/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 23/S01/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 23/S01/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 23/S01/01/2019","3_CHPAK :  BLUZA"
NA,"PA 10/S02/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 10/S02/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 11/S02/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 11/S02/01/2019","1_M石CZYZNA :  BUTY RUN&TRAIN"
NA,"PA 2/S02/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 2/S02/01/2019","5_AKCESORIA :  PIA"
NA,"PA 3/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 3/S02/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 3/S02/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 8/S02/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 8/S02/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 9/S02/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 9/S02/01/2019","2_KOBIETA :  BUTY LIFESTYLE_TRAMPEK S/P LOW"
NA,"PA 9/S02/01/2019","1_M石CZYZNA :  KLAPKI"
NA,"PA 9/S02/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT S/P LOW"
NA,"PA 12/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 12/S03/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 12/S03/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 2/S03/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 2/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 3/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 3/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 3/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 3/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 6/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 6/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 7/S03/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 7/S03/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 7/S03/01/2019","2_KOBIETA :  BUTY RUN&TRAIN"
NA,"PA 8/S03/01/2019","1_M石CZYZNA :  BUTY OUTDOOR LOW"
NA,"PA 8/S03/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 10/S04/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 10/S04/01/2019","3_CHPAK :  BUTY LIFESTYLE_SPORT S/P LOW"
NA,"PA 14/S04/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 14/S04/01/2019","1_M石CZYZNA :  SPODNIE"
