Data;NrParagonu;scalone
2019-02-01;PA 1/S01/01/2019;2_KOBIETA :  SPODNIE
2019-02-01;PA 1/S01/01/2019;2_KOBIETA :  SPODNIE
2019-02-01;PA 1/S01/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 1/S01/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 12/S01/01/2019;1_M石CZYZNA :  POLO
2019-02-01;PA 12/S01/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 13/S01/01/2019;5_AKCESORIA :  AKCESORIA OBUWNICZE
2019-02-01;PA 13/S01/01/2019;1_M石CZYZNA :  BUTY_ZIMA
2019-02-01;PA 18/S01/01/2019;2_KOBIETA :  KLAPKI
2019-02-01;PA 18/S01/01/2019;2_KOBIETA :  KLAPKI
2019-02-01;PA 19/S01/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 19/S01/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 19/S01/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 2/S01/01/2019;6_BIELIZNA :  MAJTKI
2019-02-01;PA 2/S01/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 2/S01/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 22/S01/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 22/S01/01/2019;2_KOBIETA :  TIGHT
2019-02-01;PA 23/S01/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 23/S01/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 23/S01/01/2019;3_CHPAK :  BLUZA
2019-02-01;PA 10/S02/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 10/S02/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 11/S02/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 11/S02/01/2019;1_M石CZYZNA :  BUTY RUN&TRAIN
2019-02-01;PA 2/S02/01/2019;5_AKCESORIA :  TORBA
2019-02-01;PA 2/S02/01/2019;5_AKCESORIA :  PIA
2019-02-01;PA 3/S02/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 3/S02/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 3/S02/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 8/S02/01/2019;5_AKCESORIA :  AKCESORIA OBUWNICZE
2019-02-01;PA 8/S02/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 9/S02/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 9/S02/01/2019;2_KOBIETA :  BUTY LIFESTYLE_TRAMPEK S/P LOW
2019-02-01;PA 9/S02/01/2019;1_M石CZYZNA :  KLAPKI
2019-02-01;PA 9/S02/01/2019;1_M石CZYZNA :  BUTY LIFESTYLE_SPORT S/P LOW
2019-02-01;PA 12/S03/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 12/S03/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 12/S03/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 2/S03/01/2019;6_BIELIZNA :  MAJTKI
2019-02-01;PA 2/S03/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 3/S03/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 3/S03/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 3/S03/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 3/S03/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 6/S03/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 6/S03/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 7/S03/01/2019;2_KOBIETA :  BLUZA
2019-02-01;PA 7/S03/01/2019;2_KOBIETA :  TIGHT
2019-02-01;PA 7/S03/01/2019;2_KOBIETA :  BUTY RUN&TRAIN
2019-02-01;PA 8/S03/01/2019;1_M石CZYZNA :  BUTY OUTDOOR LOW
2019-02-01;PA 8/S03/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 10/S04/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 10/S04/01/2019;3_CHPAK :  BUTY LIFESTYLE_SPORT S/P LOW
2019-02-01;PA 14/S04/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 14/S04/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 14/S04/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 14/S04/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 3/S04/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 3/S04/01/2019;2_KOBIETA :  KLAPKI
2019-02-01;PA 5/S04/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 5/S04/01/2019;1_M石CZYZNA :  BUTY_ZIMA
2019-02-01;PA 6/S04/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 6/S04/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 6/S04/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 6/S04/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 7/S04/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 7/S04/01/2019;6_BIELIZNA :  SKARPETY DGIE
2019-02-01;PA 8/S04/01/2019;5_AKCESORIA :  AKCESORIA OBUWNICZE
2019-02-01;PA 8/S04/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 1/S05/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 1/S05/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 11/S05/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 11/S05/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 12/S05/01/2019;2_KOBIETA :  TIGHT
2019-02-01;PA 12/S05/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 12/S05/01/2019;2_KOBIETA :  SLEEVELESS
2019-02-01;PA 12/S05/01/2019;1_M石CZYZNA :  BUTY LIFESTYLE_SPORT POZ LOW
